bin,TP,FN,FP,TN,precision,recall,FPR,bin_mean,bin_min,bin_max,bin_size,experiment,k,l,s,confidence_level,masking,classifier
6,35665961,37667376,3226501,63440169,0.9170404537516808,0.4863539893186642,0.04839751258012437,0.12374136363636362,0.109331,0.145727,11,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
7,10573224,29426778,3226501,63440169,0.7661909204712413,0.26433058678347066,0.04839751258012437,0.17552316666666667,0.156619,0.197292,6,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
8,9165423,64167914,3226501,63440169,0.7396287291626386,0.12498303465993918,0.04839751258012437,0.22937800000000003,0.210897,0.243761,11,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
9,9615236,130384771,3226501,63440169,0.7487488647369122,0.06868025370884445,0.04839751258012437,0.7286633333333332,0.263022,1.0,21,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
0,66666427,243,975196,65691474,0.9855829006350127,0.9999963550001822,0.014627939268603037,0.0,0.0,0.0,10,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
1,104715960,8617379,975196,65691474,0.9907731541889844,0.9239643067429612,0.014627939268603037,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
2,61643906,5022764,975196,65691474,0.984426541281285,0.9246585437670728,0.014627939268603037,0.01330993,0.0101878,0.0177122,10,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
3,45143970,8189366,975196,65691474,0.9788548648082664,0.8464493951775303,0.014627939268603037,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
4,44815934,8517402,975196,65691474,0.9787033864418722,0.8402987204850639,0.014627939268603037,0.037567175,0.030677,0.0494626,8,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
5,27310644,26022692,975196,65691474,0.9655235269661429,0.5120745493962725,0.014627939268603037,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
6,25881269,47452068,975196,65691474,0.963688594161592,0.3529263778082265,0.014627939268603037,0.12374136363636362,0.109331,0.145727,11,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
7,6710678,33289324,975196,65691474,0.8731183987663602,0.16776694161165293,0.014627939268603037,0.17552316666666667,0.156619,0.197292,6,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
8,5148431,68184906,975196,65691474,0.8407486282231103,0.07020587376243359,0.014627939268603037,0.22937800000000003,0.210897,0.243761,11,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
9,3543063,136456944,975196,65691474,0.7841655380977496,0.02530759159176328,0.014627939268603037,0.7286633333333332,0.263022,1.0,21,variable_conf,28,28,6,0.1,unmasked,k=28 conf=0.1
0,66666346,324,385119,66281551,0.9942563671054764,0.9999951400002429,0.005776784711160764,0.0,0.0,0.0,10,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
1,104577297,8756042,385119,66281551,0.9963308866670904,0.9227408097453124,0.005776784711160764,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
2,61378295,5288375,385119,66281551,0.9937646095793864,0.9206743789662808,0.005776784711160764,0.01330993,0.0101878,0.0177122,10,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
3,44682374,8650962,385119,66281551,0.9914546167455998,0.8377944706102765,0.005776784711160764,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
4,43635778,9697558,385119,66281551,0.9912514504191045,0.8181707965914602,0.005776784711160764,0.037567175,0.030677,0.0494626,8,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
5,23047499,30285837,385119,66281551,0.9835648325765391,0.4321405846429708,0.005776784711160764,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
6,19355170,53978167,385119,66281551,0.9804907111542288,0.2639341231669302,0.005776784711160764,0.12374136363636362,0.109331,0.145727,11,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
7,4733893,35266109,385119,66281551,0.924766927680576,0.11834731908263404,0.005776784711160764,0.17552316666666667,0.156619,0.197292,6,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
8,3476705,69856632,385119,66281551,0.9002753621086823,0.04740961126588307,0.005776784711160764,0.22937800000000003,0.210897,0.243761,11,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
9,1996107,138003900,385119,66281551,0.8382686061717788,0.014257906429961822,0.005776784711160764,0.7286633333333332,0.263022,1.0,21,variable_conf,28,28,6,0.15,unmasked,k=28 conf=0.15
0,66666069,601,174241,66492429,0.9973931748670825,0.9999909850004508,0.002613614869319257,0.0,0.0,0.0,10,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
1,104440238,8893101,174241,66492429,0.998334446611353,0.9215314656881326,0.002613614869319257,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
2,61135210,5531460,174241,66492429,0.9971580074987134,0.9170281041485948,0.002613614869319257,0.01330993,0.0101878,0.0177122,10,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
3,44286638,9046698,174241,66492429,0.9960810266481686,0.830374420981279,0.002613614869319257,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
4,42298222,11035114,174241,66492429,0.9958975536690678,0.7930916228454189,0.002613614869319257,0.037567175,0.030677,0.0494626,8,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
5,19482126,33851210,174241,66492429,0.9911356457681116,0.3652898442355078,0.002613614869319257,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
6,14572180,58761157,174241,66492429,0.9881841838097528,0.19871153551896867,0.002613614869319257,0.12374136363636362,0.109331,0.145727,11,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
7,3504789,36495213,174241,66492429,0.9526394185423877,0.08761972061901396,0.002613614869319257,0.17552316666666667,0.156619,0.197292,6,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
8,2586910,70746427,174241,66492429,0.9368955192961196,0.03527604369074327,0.002613614869319257,0.22937800000000003,0.210897,0.243761,11,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
9,1388586,138611421,174241,66492429,0.8885090928170553,0.00991847093264788,0.002613614869319257,0.7286633333333332,0.263022,1.0,21,variable_conf,28,28,6,0.2,unmasked,k=28 conf=0.2
0,66665841,829,49590,66617080,0.9992566937025408,0.9999875650006218,0.0007438499628075019,0.0,0.0,0.0,10,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
1,104223445,9109894,49590,66617080,0.9995244216301944,0.919618586372012,0.0007438499628075019,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
