s2,s1,fna_dist,bk_no_clean_up,ak_no_clean_up,bk_cleaned,ak_cleaned,C_sequences_prct.y,C_sequences_prct.x,j_bk,wp_bk,zp_bk,d_bk,j_ucseq_ak,wp_ucseq_ak,zp_ucseq_ak,d_ucseq_ak,j_cseq_ak,wp_cseq_ak,zp_cseq_ak,d_cseq_ak
Drosophila_eugracilis,Drosophila_erecta,0.095595385,0.092329918,0.094438503,0.092311953,0.094412862,9.07,6.03,0.0073981,14091441.99,95295299.8,0.092311953,0.0067715,12759369.51,87682487.84,0.094412862,0.005102819,821473.1128,8408551.332,0.090983316
Drosophila_eugracilis,Drosophila_eugracilis,0,0,0,0,0,9.07,9.07,,,,,,,,,,,,
Drosophila_eugracilis,Drosophila_mauritiana,0.092905308,0.086369863,0.092466564,0.086345212,0.092451393,9.07,6.61,0.0089603,13536417.59,92747334,0.086345212,0.0071693,12240978.87,84997980.75,0.092451393,0.018618888,805856.8833,8461810.334,0.051852899
Drosophila_eugracilis,Drosophila_mojavensis,0.163035742,0.150699187,0.163678985,0.150724068,0.16366797,9.07,14.44,0.0008708,13135746.18,95373487.59,0.150724068,0.0005256,11156650.03,83338808.66,0.16366797,0.0022918,1225398.517,13221683.96,0.112567715
Drosophila_eugracilis,Drosophila_persimilis,0.133921329,0.11303863,0.135224418,0.113011619,0.135215683,9.07,9.04,0.0032324,12306718.43,92784317.19,0.113011619,0.0014476,10934706.91,83739190.71,0.135215683,0.016009353,863480.7985,9770607.165,0.054104008
Drosophila_eugracilis,Drosophila_pseudoobscura,0.133580425,0.124936563,0.134823988,0.124929213,0.13481712,9.07,8.14,0.0021874,12677192.94,92764665.74,0.124929213,0.0015109,11308858.96,84175204.2,0.13481712,0.005811174,826210.7821,9372200.134,0.084153859
Drosophila_eugracilis,Drosophila_sechellia,0.09468378,0.089859556,0.095358026,0.08982541,0.095323617,9.07,6.95,0.0075781,12804500.65,92033714.35,0.08982541,0.0061829,11543877.25,84164172.83,0.095323617,0.01360286,803198.2187,8514802.794,0.060966458
Drosophila_eugracilis,Drosophila_simulans,0.09234363,0.090352207,0.091964654,0.090330538,0.091950349,9.07,5.48,0.0078432,13520206.15,92315596.71,0.090330538,0.0072955,12267696.69,85165233.19,0.091950349,0.003891836,772541.8013,7879334.303,0.098962079
Drosophila_eugracilis,Drosophila_virilis,0.160967205,0.101497531,0.159742796,0.101478196,0.159748142,9.07,15.04,0.0044571,10466505.63,85520052.43,0.101478196,0.0005268,8720617.863,75131860.09,0.159748142,0.031025912,1137975.841,11059475.85,0.038883539
Drosophila_eugracilis,Drosophila_willistoni,0.157453571,0.119277067,0.154792483,0.119232004,0.154738495,9.07,11,0.0023305,10422501.7,87546966.41,0.119232004,0.0006476,9263621.59,78069058.55,0.154738495,0.01414799,740217.0176,10117694.59,0.052052286
